Net 1 Epoch 0/50 Training: Batch 124/2048. Total Loss 0.5539, Localization Loss 0.0000, Cover Loss 0.2406, Recover Loss 0.3133, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 128/2048. Total Loss 0.7052, Localization Loss 0.0000, Cover Loss 0.2660, Recover Loss 0.4392, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 132/2048. Total Loss 0.6066, Localization Loss 0.0000, Cover Loss 0.2864, Recover Loss 0.3202, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 136/2048. Total Loss 1.0648, Localization Loss 0.0000, Cover Loss 0.3921, Recover Loss 0.6727, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 140/2048. Total Loss 0.7718, Localization Loss 0.0000, Cover Loss 0.3025, Recover Loss 0.4693, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 144/2048. Total Loss 0.6975, Localization Loss 0.0000, Cover Loss 0.2915, Recover Loss 0.4060, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 148/2048. Total Loss 1.6521, Localization Loss 0.0000, Cover Loss 0.7287, Recover Loss 0.9234, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 152/2048. Total Loss 1.1409, Localization Loss 0.0000, Cover Loss 0.3642, Recover Loss 0.7767, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 156/2048. Total Loss 0.9483, Localization Loss 0.0000, Cover Loss 0.3615, Recover Loss 0.5868, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 160/2048. Total Loss 1.1788, Localization Loss 0.0000, Cover Loss 0.5005, Recover Loss 0.6783, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 164/2048. Total Loss 0.7877, Localization Loss 0.0000, Cover Loss 0.3362, Recover Loss 0.4515, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 168/2048. Total Loss 1.6052, Localization Loss 0.0000, Cover Loss 0.7727, Recover Loss 0.8325, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 172/2048. Total Loss 0.7996, Localization Loss 0.0000, Cover Loss 0.3548, Recover Loss 0.4448, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 176/2048. Total Loss 0.6494, Localization Loss 0.0000, Cover Loss 0.3008, Recover Loss 0.3486, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 180/2048. Total Loss 0.6131, Localization Loss 0.0000, Cover Loss 0.2860, Recover Loss 0.3271, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 184/2048. Total Loss 0.7609, Localization Loss 0.0000, Cover Loss 0.3639, Recover Loss 0.3970, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 188/2048. Total Loss 0.4845, Localization Loss 0.0000, Cover Loss 0.2202, Recover Loss 0.2643, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 192/2048. Total Loss 0.4497, Localization Loss 0.0000, Cover Loss 0.2053, Recover Loss 0.2444, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 196/2048. Total Loss 1.2175, Localization Loss 0.0000, Cover Loss 0.5584, Recover Loss 0.6591, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 200/2048. Total Loss 0.9229, Localization Loss 0.0000, Cover Loss 0.3955, Recover Loss 0.5273, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 204/2048. Total Loss 0.8786, Localization Loss 0.0000, Cover Loss 0.4069, Recover Loss 0.4717, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 208/2048. Total Loss 1.1126, Localization Loss 0.0000, Cover Loss 0.5219, Recover Loss 0.5908, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 212/2048. Total Loss 1.6400, Localization Loss 0.0000, Cover Loss 0.7519, Recover Loss 0.8881, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 216/2048. Total Loss 1.2793, Localization Loss 0.0000, Cover Loss 0.5719, Recover Loss 0.7074, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 220/2048. Total Loss 0.8081, Localization Loss 0.0000, Cover Loss 0.3715, Recover Loss 0.4367, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 224/2048. Total Loss 0.6766, Localization Loss 0.0000, Cover Loss 0.3204, Recover Loss 0.3563, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 228/2048. Total Loss 0.7067, Localization Loss 0.0000, Cover Loss 0.3360, Recover Loss 0.3707, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 232/2048. Total Loss 0.8084, Localization Loss 0.0000, Cover Loss 0.3688, Recover Loss 0.4396, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 236/2048. Total Loss 0.4353, Localization Loss 0.0000, Cover Loss 0.2076, Recover Loss 0.2277, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 240/2048. Total Loss 0.8369, Localization Loss 0.0000, Cover Loss 0.3740, Recover Loss 0.4629, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 244/2048. Total Loss 0.3912, Localization Loss 0.0000, Cover Loss 0.1734, Recover Loss 0.2178, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 248/2048. Total Loss 2.0829, Localization Loss 0.0000, Cover Loss 0.9564, Recover Loss 1.1265, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 252/2048. Total Loss 0.7908, Localization Loss 0.0000, Cover Loss 0.3340, Recover Loss 0.4567, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 256/2048. Total Loss 1.2193, Localization Loss 0.0000, Cover Loss 0.5761, Recover Loss 0.6432, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 260/2048. Total Loss 0.5814, Localization Loss 0.0000, Cover Loss 0.2616, Recover Loss 0.3199, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 264/2048. Total Loss 0.7073, Localization Loss 0.0000, Cover Loss 0.3428, Recover Loss 0.3645, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 268/2048. Total Loss 0.5485, Localization Loss 0.0000, Cover Loss 0.2220, Recover Loss 0.3265, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 272/2048. Total Loss 0.7221, Localization Loss 0.0000, Cover Loss 0.2951, Recover Loss 0.4269, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 276/2048. Total Loss 1.0204, Localization Loss 0.0000, Cover Loss 0.4176, Recover Loss 0.6029, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 280/2048. Total Loss 0.4806, Localization Loss 0.0000, Cover Loss 0.1920, Recover Loss 0.2886, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
Net 1 Epoch 0/50 Training: Batch 284/2048. Total Loss 0.4996, Localization Loss 0.0000, Cover Loss 0.1877, Recover Loss 0.3119, Adversial Cover Loss 0.0000, Adversial Recovery Loss 0.0000
